"Product/Service Name","Quantity on hand","Item type","Category","SKU","Purchase cost includes tax","Sales price includes tax","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Barbados Bus Stop Patch",400,"Inventory","Souvenirs:Patches","8516","No","No",4.83,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Bus Stop Patch - 8516","Barbados Bus Stop Iron On Patch",10
"Barbados Dive Map and Reef Creatures ID Guide",37,"Inventory","Souvenirs:Guides","8601","No","No",8.25,4.82,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Dive Map and Reef Creatures ID Guide - 8601","Barbados Dive Map and Reef Creatures ID Guide",10
"Barbados Flag 3.5"" x 2.5""",16,"Inventory","Souvenirs:Stickers","40844C","No","No",2.41,1.18,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag 3.5"" x 2.5"" - 40844C","Barbados Flag 3.5"" x 2.5""",50
"Barbados Flag 5.25"" x 3.75""",142,"Inventory","Souvenirs:Stickers","40844B","No","No",2.41,1.46,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag 5.25"" x 3.75"" - 40844B","Barbados Flag 5.25"" x 3.75""",20
"Barbados Flag Car Magnet",23,"Inventory","Souvenirs:Magnets","40873A","No","No",4.35,2.94,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Car Magnet - 40873A","Barbados Flag Car Magnet",20
"Barbados Flag Luggage Tag",223,"Inventory","Souvenirs:Luggage Tags","40871","No","No",3.38,2.06,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Luggage Tag - 40871","Barbados Flag Luggage Tag",50
"Barbados Flag Mini",21,"Inventory","Souvenirs:Stickers","20082","No","No",3.87,1.18,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Mini - 20082","Barbados Flag Mini",20
"Barbados Flag Patch",2,"Inventory","Souvenirs:Patches","8514","No","No",4.83,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flag Patch - 8514","Barbados Flag Iron On Patch",10
"Barbados Flip Flop Palm",59,"Inventory","Souvenirs:Stickers","097-03","No","No",4.83,2.5,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flip Flop Palm - 097-03","Barbados Flip Flop Palm",20
"Barbados Flip Flop Palm stickers small",92,"Inventory","Souvenirs:Stickers","097-01","Yes","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Flip Flop Palm stickers small - 097-01","Barbados Flip Flop Palm stickers small",20
"Barbados Green Sea Turtle",44,"Inventory","Souvenirs:Stickers","103-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Green Sea Turtle - 103-01","Barbados Green Sea Turtle - 103-01",20
"Barbados Green Sea Turtle Large",0,"Inventory","Souvenirs:Stickers","103-03","No","No",4.83,2.59,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Green Sea Turtle Large - 103-03","Barbados Green Sea Turtle Large",20
"Barbados Map Patch",48,"Inventory","Souvenirs:Patches","8515","No","No",4.83,2.44,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Map Patch - 8515","Barbados Map Iron On Patch",10
"Barbados Map Sticker",174,"Inventory","Souvenirs:Stickers","52425","No","No",2.41,1.77,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Map Sticker - 52425","Barbados Map Sticker",20
"Barbados Mini Fish and Reef Creatures ID Guide - 4 x 6",5,"Inventory","Souvenirs:Guides","8602","No","No",5.8,1.77,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Mini Fish and Reef Creatures ID Guide - 4 x 6 - 8602","Barbados Mini Fish and Reef Creatures ID Guide - 4 x 6",10
"Barbados Old Fashion Confectionary Box",9060,"Inventory","Souvenirs:Confectionery","Box-BOFC","No","No",,0.58,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Old Fashion Confectionary Box","Barbados Old Fashion Confectionary Box",1000
"Barbados Old Fashioned Confectionery",0,"Inventory","Souvenirs:Confectionery","Barbados Old Fashioned Confectionery","No","No",11.64,7.65,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Old Fashioned Confectionery","Barbados Old Fashioned Confectionery",0
